elementId,quantity
370826,1
370526,1
370626,6
4512363,8
4107081,2
6089119,2
6284699,2
6271869,4
6261386,2
6262897,2
6271346,2
6261371,4
6276951,5
6280394,2
4522933,2
4542573,2
6265091,2
6338428,4
6331723,2
6327548,7
4495935,5
4645732,4
6271825,5
4156980,2
4552347,2
4142823,6
3200026,2
6023352,1
4177431,4
6047885,80
4560174,2
6278412,4
4140801,6
4121715,46
4206482,32
4514553,25
6083620,1
4508553,2
4516546,3
6015356,11
6356106,2
6261374,1
4542576,2
6265093,5
6338422,4
6364452,2
6327561,2
4210686,3
4495931,2
6279883,2
6276837,2
6271814,1
4552349,1
6133119,8
4514559,2
4210756,1
6031821,1
6055631,1
6163683,1
6225576,1
6209881,4
4211376,5
6034993,2
4211815,14
4211639,3
4211805,2
4535768,1
4211655,1
6170293,1
6275844,3
6271165,3
6221464,1
6153715,2
4211483,1
6173127,3
4211865,2
4211807,4
6335279,2
4142865,18
4666999,4
4666579,2
4565452,6
6031962,2
6013938,5
6514001,2
6208450,2
346024,1
6261367,2
6271150,2
4153707,1
4142133,5
4503425,2
4495934,3
4114672,2
6115616,2
6271828,2
370124,1
